k,score,team_coverage,team_separation,team_power,team_overlap_penalty,team_name_quality,team_complexity_penalty,silhouette,bootstrap_stability,selected_gods
6,0.5589,0.0828,0.9806,0.8967,0.0194,0.8933,0.1667,0.0304,0.9026,Ma'at|Hermes|Janus|Athena|Hades|Shiva
5,0.5568,0.0773,0.9808,0.894,0.0192,0.884,0.0833,0.0251,0.8445,Ma'at|Hermes|Janus|Shiva|Hades
7,0.5557,0.0859,0.9811,0.8943,0.0189,0.8914,0.25,0.0280,0.9161,Ma'at|Hermes|Janus|Prometheus|Hades|Athena|Shiva
4,0.5537,0.0716,0.9745,0.875,0.0255,0.9025,0.0,0.0209,0.7847,Janus|Ma'at|Hermes|Athena
8,0.5534,0.0902,0.9838,0.89,0.0162,0.885,0.3333,0.0287,0.9428,Ma'at|Hermes|Janus|Prometheus|Thoth|Athena|Hades|Shiva
9,0.5496,0.0905,0.976,0.9033,0.024,0.8811,0.4167,0.0277,0.9475,Ma'at|Hermes|Janus|Shiva|Thoth|Athena|Hades|Odin|Ra
10,0.5465,0.0929,0.978,0.901,0.022,0.881,0.5,0.0259,0.9570,Ma'at|Hermes|Janus|Prometheus|Thoth|Shiva|Athena|Hades|Odin|Ra
11,0.5435,0.0929,0.9777,0.9009,0.0223,0.8827,0.5833,0.0219,0.9848,Ma'at|Hermes|Janus|Hades|Prometheus|Thoth|Athena|Shiva|Ra|Odin|Ganesh
12,0.5142,0.0939,0.9802,0.89,0.0198,0.8833,0.6667,0.0200,,Ma'at|Hermes|Janus|Hades|Prometheus|Thoth|Heimdall|Athena|Odin|Ganesh|Shiva|Hephaestus
13,0.5098,0.0939,0.9774,0.8946,0.0226,0.8823,0.75,0.0170,,Ma'at|Hermes|Janus|Hades|Prometheus|Thoth|Shiva|Heimdall|Athena|Odin|Ganesh|Ra|Apollo
14,0.5048,0.0946,0.9789,0.8907,0.0211,0.8771,0.8333,0.0131,,Ma'at|Hermes|Janus|Hades|Prometheus|Thoth|Shiva|Heimdall|Athena|Loki|Ganesh|Odin|Ra|Apollo
15,0.4992,0.0946,0.9764,0.8887,0.0236,0.8767,0.9167,0.0058,,Hermes|Janus|Hades|Themis|Prometheus|Ma'at|Thoth|Shiva|Heimdall|Athena|Loki|Ganesh|Odin|Ra|Apollo
16,0.4943,0.0946,0.9776,0.8887,0.0224,0.8706,1.0,,,Hermes|Janus|Hades|Themis|Prometheus|Ma'at|Thoth|Shiva|Heimdall|Loki|Vishvakarma|Ganesh|Odin|Athena|Ra|Apollo
